127.39	24.53
167.03	35.04
17.08	-29.94
193.89	46.29
214.83	46.9
153.22	40.26
217.36	39.01
166.25	27.09
28.16	-62.33
200.68	22.93
192.99	42.91
142.75	75.04
169.24	16.21
210.29	14.51
177.28	3.36
226.73	66.95
26.11	-11.43
1.15	-23.24
184.98	40.24
30.7	-28.56
192.82	-7.19
192.92	8.55
13.96	-14.62
206.76	83.58
183.56	-0.52
180.22	21.29
178.24	34.24
31.43	-1.21
14.34	-39.83
186.65	9.81
195.36	-10.97
80.59	-8.54
153.71	-1.27
147.74	28.52
175.11	13.51
178.1	45.65
200.99	-8.92
81.13	-66.22
351.94	-63.45
183.84	33.99
208.23	35.73
348.18	-28.54
204.38	-11.84
22.22	-30.22
2.82	-14.32
80.58	-70.21
188.86	29.44
62.11	6.18
2.72	-16.25
189.97	17.59
86.56	-69.54
218.1	8.04
4.88	-15.99
22.32	-50.02
75.78	-66.75
155.81	17.49
175.18	27.49
183.76	48.29
158.46	19.16
201.3	-42.95
210.18	1.66
190.02	11.74
188.41	10.65
322.79	-6.84
194.49	-39.13
147.42	15.02
15.31	-73.03
83.39	-71.93
357.03	-21.06
28.16	1.17
188.01	23.52
206.56	9.28
72.05	-68.82
174.29	-0.96
14.19	-43.86
348.46	-23.88
29.81	-45.31
173.0	18.72
170.08	18.0
38.68	-38.72
139.94	17.77
181.91	2.95
193.58	16.73
31.95	-33.71
164.69	60.76
176.86	5.23
229.36	-21.1
76.45	-72.4
156.74	59.31
216.48	-2.6
287.84	-59.77
139.96	46.82
88.92	-67.07
197.89	11.01
198.73	12.74
74.14	-70.61
208.45	-2.34
126.35	57.4
188.29	0.07
171.15	15.1
199.27	14.62
195.48	-24.68
150.64	29.58
83.72	-67.89
78.07	-68.48
78.64	-56.75
127.39	24.53
167.03	35.04
17.08	-29.94
193.89	46.29
214.83	46.9
153.22	40.26
217.36	39.01
166.25	27.09
28.16	-62.33
200.68	22.93
192.99	42.91
142.75	75.04
169.24	16.21
210.29	14.51
177.28	3.36
226.73	66.95
26.11	-11.43
1.15	-23.24
184.98	40.24
30.7	-28.56
192.82	-7.19
192.92	8.55
13.96	-14.62
206.76	83.58
183.56	-0.52
180.22	21.29
178.24	34.24
31.43	-1.21
14.34	-39.83
186.65	9.81
11.05	41.63
195.36	-10.97
153.71	-1.27
147.74	28.52
175.11	13.51
178.1	45.65
200.99	-8.92
81.13	-66.22
351.94	-63.45
183.84	33.99
208.23	35.73
348.18	-28.54
204.38	-11.84
22.22	-30.22
2.82	-14.32
80.58	-70.21
188.86	29.44
62.11	6.18
2.72	-16.25
189.97	17.59
86.56	-69.54
218.1	8.04
4.88	-15.99
22.32	-50.02
75.78	-66.75
155.81	17.49
175.18	27.49
183.76	48.29
158.46	19.16
201.3	-42.95
210.18	1.66
190.02	11.74
188.41	10.65
322.79	-6.84
194.49	-39.13
147.42	15.02
15.31	-73.03
83.39	-71.93
357.03	-21.06
28.16	1.17
188.01	23.52
206.56	9.28
72.05	-68.82
174.29	-0.96
14.19	-43.86
348.46	-23.88
29.81	-45.31
173.0	18.72
170.08	18.0
38.68	-38.72
139.94	17.77
181.91	2.95
193.58	16.73
31.95	-33.71
164.69	60.76
176.86	5.23
229.36	-21.1
76.45	-72.4
156.74	59.31
216.48	-2.6
287.84	-59.77
139.96	46.82
88.92	-67.07
197.89	11.01
198.73	12.74
74.14	-70.61
208.45	-2.34
126.35	57.4
188.29	0.07
171.15	15.1
199.27	14.62
195.48	-24.68
150.64	29.58
83.72	-67.89
78.07	-68.48
78.64	-56.75
